,id,name
0,30,AM/NS (CRC)
1,11,AM/NS (Essar)
2,32,AM/NS(CC)
3,9,Apollo
4,33,Apollo GP Pipe
5,14,As Per IS2062
6,58,EN8 Series
7,5,G.D.MALHOTRA
8,23,JINDAL STAR
9,24,Jindal Steel (JSPL)
10,13,JSW Colouron+
11,53,JSW Decksheet
12,60,JSW GP Sheet
13,36,JSW Kalinga Pipe
14,35,JSW Kalinga Z Fab GP Pipe
15,61,JSW Pragati
16,45,JSW TMT
17,3,Mahavir Steel
18,21,MSL Seamless
19,46,Other
20,40,PC Lite
21,38,Pipe Fittings
22,16,Polish Bar
23,29,Primus
24,8,Rajuri TMT
25,15,Rolling
26,59,SAIL
27,51,TATA
28,27,TATA Durashine
29,47,TATA EZYFIT
30,62,TATA GI PIPE
31,25,TATA GP Pipe 
32,57,TATA HR
33,17,TATA Pipes
34,54,TATA SMARTDEK 
35,1,TATA Structura
36,50,TATA TISCON
37,7,VIZAG / SAIL
